text,class
Mantienen alerta en el volcán de Colima por constante flujo de lava  ,Mexico
Huracán 'Matthew' se ubica a 100 kilómetros de Haití  ,Mexico
Liberan a ocho normalistas detenidos en Michoacán  ,Mexico
Gobierno federal se compromete a regresar la tranquilidad a Colima  ,Mexico
Realizan homenaje póstumo a soldados caídos en Sinaloa  ,Mexico
¡Otra vez! Caos vial por desbordamiento del río Magdalena  ,Mexico
Uno de ellos será la mano derecha del próximo presidente de EEUU. Hoy debaten y éste es su perfil político ,Mexico
"David Thouless, Duncan Haldane y Michael Kosterlitz reciben premio Nobel de Física 2016 AlAireConPaola ",Mexico
Niña de 4 años es la beneficiaria del primer trasplante artificial de corazón en México AlAireConPaola ,Mexico
"AlAireConPaola estamos en vivo @Paola_Rojas_H, sigue la transmisión por internet   ",Mexico
Se mantiene @HillaryClinton  6 puntos arriba en preferencias de voto AlAireConPaola ,Mexico
"Detienen a los asesinos del sacerdote de Michoacán, autoridades confirman que agresores conocían a la víctima… ",Mexico
Se desborda río en la delegación Magdalena Contreras por intensas lluvias AlAireConPaola ,Mexico
Protección Civil emite emergencia por intensa actividad del volcán de fuego en Colima AlAireConPaola ,Mexico
"Se disculpa @Emilio_Gamboa_ por aterrizar en zona protegida, asegura que fue un error AlAireConPaola ",Mexico
AlAireConPaola estamos en vivo sigue la transmisión por internet @Paola_Rojas_H   ,Mexico
"Cae árbol en casa de lamina de Veracruz, muere niño de 2 años y mujer de 58 AlAireConPaola ",Mexico
'La identidad de género es inmutable desde el nacimiento': David Barrios AlAireConPaola  ,Mexico
"La transexualidad se presenta en 1 de cada 11 mil 900 hombres y 1 de cada 300 mil 400 mujeres, indica sexólogo… ",Mexico
AlAireConPaola el sexólogo David Barrios habla sobre la transexualidad  ,Mexico
"Inicia AlAireconPaola, conducido por @Paola_Rojas_H, síguelo en vivo por Internet en  ",Mexico
La impulsividad de @realDonaldTrump contrasta con la preparación de @HillaryClinton: TercerGrado por Leopoldo Góme… ,Mexico
'Luis González de Alba eligió su vida y su muerte' @aguilarcamin DespiertaconLoret ,Mexico
"Grupo civil marcha en Naucalpan contra feminicidios, exigen mayor seguridad DespiertaconLoret ",Mexico
Huracán Matthew toca tierra en Haití @Archie_clima DespiertaconLoret ,Mexico
"María Villar, víctima circunstancial de grupo delictivo, indican autoridades DespiertaconLoret ",Mexico
Francotirador yihadista asesina a fotorreportero holandés en Libia DespiertaconLoret ,Mexico
"Debe PRD promover un modelo económico alternativo, indica @JavierTello_ DespiertaconLoret  ",Mexico
AMLO decidió no ponerse a nivel de dirigente de partido por estrategia': @RoyCampos DespiertaconLoret… ,Mexico
"PRD no puede ganar solo las elecciones, explica @JavierTello_ DespiertaconLoret  ",Mexico
Asegura @gabrielguerrac que @Ale_BarralesM tuvo un discurso sólido DespiertaconLoret  ,Mexico
"PRI PAN se disputan el derecho a competir con Morena, asegura @JavierTello_ DespiertaconLoret… ",Mexico
'@RicardoAnayaC tuvo que ser más propositivo y menos crítico': @gabrielguerrac  ,Mexico
"DespiertaconLoret: @RoyCampo @JavierTello_ @gabrielguerrac
analizan el debate entre dirigentes del PRI PAN Y… ",Mexico
En exclusiva DespiertaconLoret presenta reportaje especial de las cárceles ilegales en Chihuahua ,Mexico
"Caso del sacerdote Alfredo López Guillén, ya quedó resuelto, asegura procuraduría del estado DespiertaconLoret… ",Mexico
'El sacerdote fue asesinado por diferencia de creencias': Procurador de Michoacán  DespiertaconLoret… ,Mexico
"No hay indicios de que homicidas del sacerdote fueran militares, asegura @MichoacanPGJ DespiertaconLoret… ",Mexico
En vivo; procurador de Michoacán habla de los homicidas del sacerdote en la entidad DespiertaconLoret… ,Mexico
"Homicidas de sacerdote de Michoacán conocían a su víctima, confirma PGJM DespiertaconLoret ",Mexico
Tribunal de EU rechaza política migratoria propuesta por @BarackObama DespiertaconLoret ,Mexico
A la cabeza @HillaryClinton en preferencias de voto según encuesta del @CNN DespiertaconLoret ,Mexico
"Se realiza primer trasplante artificial de corazón en el país, niña jalisciense es la beneficiada DespiertaconLoret ",Mexico
"Mathew llega a categoría 4, alerta en las islas del caribe DespiertaconLoret @Archie_clima",Mexico
Tres británicos ganan el Premio Nobel de Física 2016  ,Mexico
"Inicia DespiertaconLoret, conducido por @CarlosLoret, síguelo en vivo por Internet en  ",Mexico
A unas semanas de la elección de EU @HillaryClinton repunta en preferencias de voto LasNoticiasConDanielle ,Mexico
Continúan actividad del volcán en Colima LasNoticiasConDanielle ,Mexico
Liberan a los 8 normalistas que permanecían detenidos en Michoacán LasNoticiasConDanielle ,Mexico
Confirma @Emilio_Gamboa_ que por error aterrizó en el arrecife Alacranes LasNoticiasConDanielle ,Mexico
TercerGrado: Una semana después del debate entre @HillaryClinton y @realDonaldTrump. la columna de Leopoldo Gómez… ,Mexico
"EN DIRECTO en Periscope: DespiertaconLoret @anafvega presenta un adelanto, nos vemos a las 6:30 ",Mexico
El dólar se mantiene en 19.74 LasNoticiasConDanielle ,Mexico
Gobierno federal confirma cifras de violencia de género en México LasNoticiasConDanielle ,Mexico
"Detiene a homicida de la fotógrafa Bárbara McClatchie Andrews asesinada en Yucatán, el culpable era su chofer… ",Mexico
Identifican y detienen a  presunto asesino de MaríaVillar LasNoticiasConDanielle ,Mexico
"Si Jesús viviera no rechazaría a un transexual, afirma el papa Francisco  ",Mexico
"Chiapas, considerado el estado más seguro de la República LasNoticiasConDanielle ",Mexico
Detiene a presuntos asesinos de sacerdote de Michoacán LasNoticiasConDanielle,Mexico
"Inicia LasNoticiasconDanielle, conducido por @daniellemx_, síguelo en vivo por Internet en  ",Mexico
"Ya comienzan LasNoticiasConDanielle, en la agenda: Feminicidios en México, el caso de María Villar y detalles del… ",Mexico
LasNoticiasConDanielle iniciamos con la información que debes saber @daniellemx_ en vivo en @Canal_Estrellas ,Mexico
Detienen a supuesto homicida de la ciudadana española María Villar Galaz  ,Mexico
"Transportistas, en contra de sacar de circulación a dobles remolques  ",Mexico
Santos abre el diálogo con Uribe para encaminar la paz en Colombia  ,Mexico
"Hijos de 'El Chapo', autores de ataque a militares: Gobernador de Sinaloa  ",Mexico
"El 911 sustituye a números de emergencia, no a números de denuncia: SNS  ",Mexico
Alcaldesa de París condena asalto a Kim Kardashian  ,Mexico
Migrantes africanos y haitianos desbordan la frontera de Tijuana en busca de refugio en los EEUU; reportan disturbi… ,Mexico
Disparan gas pimienta contra jubilados griegos  ,Mexico
Número de emergencias 911 contribuye a mejorar seguridad y justicia: @EPN  ,Mexico
Lunes negro en favor del aborto en Polonia  ,Mexico
¿Por qué le dieron el Premio Nobel de Medicina al japonés Yoshinori Ohsumi? 10EnPunto con @DeniseMaerker ,Mexico
Detienen a supuesto homicida de la ciudadana española María Villar Galaz  ,Mexico
Se intensifican operativos en Sinaloa tras las emboscada que dejó 5 militares muertos en Culiacán 10EnPunto… ,Mexico
"Un helicóptero privado donde viajaba el senador Emilio Gamboa aterrizó de manera ilegal en el Arrecife Alacranes, e… ",Mexico
Asesinan a líder de una organización civil en Tuxtepec Oaxaca  ,Mexico
Remesas a México subieron 6.61% entre enero y agosto: @Banxico  ,Mexico
Los presuntos responsables del asesinato de un sacerdote en Michoacán serían dos militares 10EnPunto… ,Mexico
EU suspende conversaciones con Rusia sobre alto al fuego en Siria  ,Mexico
Lanzan campaña nacional contra la trata de personas en México  ,Mexico
"De África a Tijuana, el caso de miles de migrantes varados en la frontera norte mexicana  ",Mexico
