id_str,text,class
786717128711778304,Cuéntame: Franco de Vita llega con un “grito de libertad” para Venezuela -  ,USA
786708255825207297,.@PRPDNoticias prepara documento para manejar crímenes de odio -  ,USA
786703087415287811,"[COLUMNA] A Bob Dylan, quien quiera, que lo siga -   ",USA
786698500377575425,[VIDEO] Así reaccionó el personal ante una emergencia en el aeropuerto internacional Luis Muñoz Marín  -… ,USA
786689321617285121,Impactante el retiro del mercado del Galaxy Note 7 -  ,USA
786684190418952192,Ocho playas en la Isla reportan alta concentración de bacterias | Conoce cuáles son -  ,USA
786680193742147584,[VIDEO] Despiden a Don Quique Lucca al son de la Sonora Ponceña -  ,USA
786676057680125952,Activo el caso contra Tito Kayak por amenazar a representante -  ,USA
786668780466216960,EN VIVO: ¿Por qué sigue creciendo el apoyo a la Junta de Supervisión Fiscal? | Sigue el análisis de @ElNuevoDia -… ,USA
786667481914044416,Gorila crea terror en zoológico de Londres  -  ,USA
786664394281381889,[VIDEO] Dagmar sorprende a modelo boricua con cáncer -  ,USA
786663393734393856,Avanza pesquisa de asesinato de sargento en Humacao -  ,USA
786658567738695680,La socialité Iris Apfel visita Puerto Rico -  ,USA
786653603528183808,Retrasada la APP para el servicio de lanchas de la ATM -  ,USA
786648842213044224,Rosselló promete cambios -  ,USA
786639713473957888,Caribbean Cinemas abrirá nuevo cine VIP en Miramar -  ,USA
786634485232115712,[VIDEO] Julián Gil apoya a Ricky Roselló para gobernador -  ,USA
786629630367117312,"Viajan 8,000 millas para llegar a la Isla -  ",USA
786623574052179970,Acusan a hombre de cortarle pezones a mujer en EE.UU. -  ,USA
786620013696483328,¡Disfruta de tu comida frente al mar en el Restaurante Ladi's Place! ViveExtraordinario -  ,USA
786616238071885826,Se reporta incendio en el hotel Caribe Hilton -  ,USA
786612482165116929,Asalto con máscara de payasos en el Condado -  ,USA
786608690845585413,Albergues en Haití aún esperan que llegue la ayuda -  ,USA
786604914038284288,Juntos por el voto boricua y la liberación de Oscar López -  ,USA
786603776924758016,Cobran el millonario premio de la Loto -  ,USA
786601141433950208,El voto del Orlandorrican -  ,USA
786596745220231168,Avanza Mónica Puig en el Abierto de Tianjin -  ,USA
786592644180828161,Policía busca a joven que atacó a su pareja embarazada -  ,USA
786588023987187712,"Si ves vehículos de emergencia en el aeropuerto, ¡que no cunda el pánico! -  ",USA
786584492974612480,[VIDEO] Hermanos vivarachos y juguetones en espera de ser adoptados -  ,USA
786580227275104256,Revelaciones de Wikileaks reflejan  contacto de Podesta con el gobernador y la empresa de cabildeo de su hermano -… ,USA
786575817383870464,Por el suelo la impresión de los electores sobre los políticos del país EncuestaEND -  ,USA
786571291390189569,Carlos Correa: “Yo nunca voy a poner excusas” -  ,USA
786567770385158144,Videorreportaje: El mundo de una joven modelo con cáncer de ovario -  ,USA
786562354477535233,"[OPINIÓN] No puede escapar de mi mente, el grito desesperado del maestro: 'no quería perder la paciencia'” -… ",USA
786558572268105728,El apoyo a la Junta va en aumento aunque muchos dicen saber poco o nada sobre el tema EncuestaEND -… ,USA
786553692824547328,El premio Nobel de Literatura de este año sorprendió a más de uno -  ,USA
786548032972005376,Consecuencias de la mala comunicación: pagarán millones por accidente de Harrison Ford  -  ,USA
786544307360542720,Huracán extremadamente peligroso se acerca a las Bermudas -  ,USA
786538099429945344,"Y tú, ¿qué harías con $906,666.67 al año por 30 años? Esto es lo que podría recibir el ganador de la Loto  -… ",USA
786530422985527296,Ni brochas ni esponjas... solo ¡con un clic! -   ,USA
786525643152293888,¿Que cómo? Detallan el mayor escándalo ocurrido en la campaña presidencial estadounidense -  ,USA
786521873660059648,[EDITORIAL] Escasez de soluciones por parte de los candidatos  -  ,USA
786515827809849344,Ni brochas ni esponjas... solo ¡con un clic! -  ,USA
786514323099250689,Capricornio: Tomas control de tus emociones pensando más sensatamente -  ,USA
786506771884105728,[EN PORTADA] Boricuas entrevistados respaldan lo desconocido -  ,USA
786506770403495936,"“El éxito es gustarte a ti mismo, gustarte lo que haces, y gustarte cómo lo haces”, Maya Angelou | CitaAM -… ",USA
786429410240892928,Nonito Donaire busca volver a la cima -  ,USA
786408510401544193,Agente sufre infarto en medio de emergencia -  ,USA
786402073466200064,Hay un nuevo millonario | Adivinan los seis números de la Loto Plus -  ,USA
786388619472666629,Completan sorteos de la Lotería Electrónica -  ,USA
786386003388829696,Culpable abogado acusado de encubrir a fugitivo -  ,USA
786376164507922433,Huracán Nicole alcanza categoría 3 -  ,USA
786370009962381312,Algunas curiosidades de la saliva -   ,USA
786360036180185088,Otro no ha lugar para Khristhielee Caride -   ,USA
786356211364925444,VIDEO: Dos mujeres denuncian que @realDonaldTrump se sobrepasó con ellas. Lee lo que les hizo -… ,USA
786354752804167680,[COLUMNA] @javy23baez: de actor de reparto a protagonista estelar -  ,USA
786350871504236544,Nuevo restaurante rinde tributo a las raíces españolas -  ,USA
786345957009068032,Curiosidades de la saliva -  ,USA
786345777698185216,Decretan tres días de duelo por muerte de sargento -  ,USA
786341306016464896,Realizarán simulacro de accidente aéreo en el aeropuerto Muñoz Marín -  ,USA
786333107527888896,MBTI se acoge a la Ley de Quiebras -  ,USA
786328210875125761,Sin aparecer surfer que fue arrastrado por corriente en Arecibo -  ,USA
786323628216365056,Bajo custodia policial sospechosos de asesinato de sargento -   ,USA
786319002704289792,Muere universitario en choque en Guaynabo -  ,USA
786312878513016833,Informe revela prejuicio en la policía de San Francisco -  ,USA
786308979907436544,La Loto sortea esta noche $34 millones | Es la cifra más alta en la Lotería Eléctrónica -  ,USA
786304189961936896,Disipan temores de que Adrien Broner se haya quitado la vida -   ,USA
786299871137402880,Misterio el asesinato de mujer en un residencial en Ponce  -   ,USA
786296236621959169,Nuevo round entre García Padilla y Luis Fortuño | Gobernador recurrió a Twitter para contestar las imputaciones -… ,USA
786291829079613440,Matan a sargento de la Policía en Humacao | Otros dos agentes resultaron heridos -  ,USA
786287239441575936,Reabrirá la Escuela de Derecho de Mayagüez -   ,USA
786282744078749696,Muere anciana que fue removida por maltrato de hogar en San Juan -  ,USA
786278358569013248,Grave adolescente tras aparatoso accidente en Guaynabo - ,USA
786273975278055425,[AHORA] Matan a sargento de la Policía en Humacao -  ,USA
786270631482363904,Pablo Casellas víctima de robo en la cárcel -  ,USA
786263862978879488,David Bernier propone un gobernador de seis años | Lee más de lo que implementaría si llega a la gobernación -… ,USA
786259721351143424,Transferencias federales son derechos adquiridos - -  ,USA
786254605504094209,Muere investigadora del caso de violación contra enebeísta Derrick Rose -  ,USA
786251074482995201,Puma aterroriza una familia en Perú -  ,USA
786246228900057088,Así fue el fracaso del Samsung Galaxy Note 7 -  ,USA
786242416156086273,Janet Jackson muestra su embarazo a los 50 años -  ,USA
786237775167172608,Peligrosa interacción entre fármacos -  ,USA
786232368709251073,Alguaciles federales atrapan a uno de los más buscados -  ,USA
786227013275164672,Sí al cannabis medicinal para 16 males -  ,USA
786217243184992262,"Gran parte de los fondos federales que llegan no son regalos, sino derechos adquiridos -  ",USA
786210666206023680,EN VIVO: ¿Por qué es un desafío encuestar en San Juan? Sigue el análisis de Puerto Rico Decide. ,USA
786204931145408512,[VIDEO] Filtran video de Kim Kardashian tras robo en París | Mira las imágenes -  ,USA
786199964770639872,Radican querella policiaca contra Jim Carrey por muerte de su exnovia -  ,USA
786198339234566144,"Presentan ideas para allegar $3,646 millones en la economía local -  ",USA
786190908186243072,Desencanto con los partidos políticos “clásicos” | Votantes están hartos -  ,USA
786184960856035328,Alcalde de San Lorenzo da espaldarazo a maestro con vídeo viral - ,USA
786179284738060293,Dificultades en la búsqueda de surfer desaparecido | Es un lugar bien peligroso -  ,USA
786176675771928576,“Cúmulo de negativos” hunden al candidato popular a la gobernación pese a sus aciertos -  ,USA
786163488766857216,Cómoda Carmen Yulín Cruz a la reelección EncuestaEND -  ,USA
786159478286716929,[EDITORIAL] Para que el País trabaje y eche hacia adelante -  ,USA
786151930724614144,Virgo: Reconoce tus errores y cambia o mejora aquello en donde has fallado -  ,USA
786144383389298689,"“Donde la esperanza no existe, no puede existir el esfuerzo”, Samuel Johnson | ¡Buen día! CitaAM -… ",USA
786144382118342657,[PORTADA] Respaldo a a la alcaldesa -   ,USA
786066691100905473,Javier Báez coronó la remontada de los @cachorros -  ,USA
786059045333569536,.@Toyota celebra los 50 años del Corolla -  ,USA
786054245350899712,@HillaryClinton afirma en Miami que el cambio climático es real y urgente -  ,USA
786039928673087488,Panamá envía a EE.UU. moscas estériles para atacar brote de gusanos -  ,USA
786016094133690368,Conoce todos los resultados de la EncuestaEND -  ,USA
786010133901946880,Trump se libera del Partido Republicano -  ,USA
786005082739314689,Ventrílocuo que laboró en Puerto Rico es denunciado por maltrato de animales -  ,USA
785994071068123136,Al menos 20 muertes por cólera en sur de Haití tras paso huracán Matthew -  ,USA
785985443544244224,Estudiantes en Chicago meditan para reducir estrés por la violencia -  ,USA
785979544259801088,Sumariada pareja por quemar a dos menores con una hornilla -  ,USA
785978585949495296,Al Centrobasket la Selección Nacional de baloncesto en silla de ruedas -  ,USA
785971994982424576,Eduardo Cabra sigue faceta de productor de músicos hispanos -  ,USA
785968244695769088,EE.UU. viajará a Marte con ayuda del sector privado -  ,USA
785964272165662720,Sin rastro de miles de fardos de azúcar robados esta madrugada -  ,USA
785959598876266496,Paso de huracán Matthew provoca caos en North Carolina -  ,USA
785953652464726020,A prisión hombre que trató de matar a expareja a cuchilladas -  ,USA
785947073501724672,Refuerzan patrullaje a raíz de racha de asesinatos en Aguadilla -   ,USA
785942478952079360,Junta de Supervisión Fiscal confirma la reunión del viernes -  ,USA
785937031943696385,¿El manejo de las redes sociales es la nueva manera de hacer política? Sigue el análisis de Puerto Rico Decide -… ,USA
785936601100668928,Carretera afectada por derrumbe en Trujillo Alto permanecerá cerrada -  ,USA
785932333983551488,Niña china sobrevive derrumbe en brazos de sus padres muertos - ,USA
